"Marital.status","Application.mode","Application.order","Daytime.evening.attendance.","Previous.qualification","Previous.qualification..grade.","Mother.s.qualification","Father.s.qualification","Mother.s.occupation","Father.s.occupation","Admission.grade","Displaced","Educational.special.needs","Debtor","Tuition.fees.up.to.date","Gender","Scholarship.holder","Age.at.enrollment","International","Unemployment.rate","Inflation.rate","GDP","Target"
"single","traditional","5","1","secondary",122,"less than secondary","less than secondary","group5","group9",127.3,"1","0","0","1","1","0",20,"0",10.8,1.4,1.74,"1"
"single","non-traditional","1","1","secondary",160,"secondary","bachelors or higher","group3","group3",142.5,"1","0","0","0","1","0",19,"0",13.9,-0.3,0.79,"0"
"single","traditional","5","1","secondary",122,"less than secondary","less than secondary","group9","group9",124.8,"1","0","0","0","1","0",19,"0",10.8,1.4,1.74,"1"
"single","traditional","2","1","secondary",122,"less than secondary","less than secondary","group5","group3",119.6,"1","0","0","1","0","0",20,"0",9.4,-0.8,-3.12,"0"
"married","non-traditional","1","0","secondary",100,"less than secondary","less than secondary","group9","group9",141.5,"0","0","0","1","0","0",45,"0",13.9,-0.3,0.79,"0"
"married","non-traditional","1","0","less than secondary",133.1,"less than secondary","less than secondary","group9","group7",114.8,"0","0","1","1","1","0",50,"0",16.2,0.3,-0.92,"0"
"single","traditional","1","1","secondary",142,"less than secondary","less than secondary","group7","group10",128.4,"1","0","0","1","0","1",18,"0",15.5,2.8,-4.06,"0"
"single","traditional","4","1","secondary",119,"less than secondary","less than secondary","group9","group9",113.1,"1","0","0","0","1","0",22,"0",15.5,2.8,-4.06,"1"
"single","traditional","3","1","secondary",137,"secondary","secondary","group9","group9",129.3,"0","0","0","1","0","1",21,"1",16.2,0.3,-0.92,"0"
"single","traditional","1","1","secondary",138,"secondary","less than secondary","group4","group7",123,"1","0","1","0","0","0",18,"0",8.9,1.4,3.51,"1"
"single","traditional","1","1","secondary",139,"less than secondary","less than secondary","group5","group7",130.6,"1","0","0","1","0","0",18,"0",13.9,-0.3,0.79,"0"
"single","traditional","1","1","secondary",136,"less than secondary","less than secondary","group9","group9",119.3,"1","0","0","1","0","1",18,"0",12.7,3.7,-1.7,"0"
"single","traditional","2","1","secondary",133,"less than secondary","less than secondary","group4","group9",130.2,"1","0","0","1","0","0",19,"0",12.7,3.7,-1.7,"1"
"single","non-traditional","1","1","specialized",110,"secondary","secondary","group4","group7",111.8,"1","0","0","1","0","1",21,"0",8.9,1.4,3.51,"0"
"single","traditional","1","1","secondary",149,"less than secondary","less than secondary","group5","group5",137.1,"1","0","0","1","0","1",18,"0",10.8,1.4,1.74,"0"
"single","traditional","1","1","secondary",127,"less than secondary","less than secondary","group9","group3",120.7,"1","0","0","1","0","0",20,"0",15.5,2.8,-4.06,"1"
"single","traditional","1","1","secondary",137,"less than secondary","less than secondary","group5","group8",137.4,"1","0","0","1","0","0",18,"0",10.8,1.4,1.74,"0"
"single","traditional","2","1","secondary",135,"less than secondary","secondary","group5","group4",127.3,"1","0","0","1","0","0",18,"0",15.5,2.8,-4.06,"0"
"single","traditional","1","1","secondary",137,"bachelors or higher","less than secondary","group3","group5",136.3,"1","0","0","1","0","0",20,"0",10.8,1.4,1.74,"0"
"single","traditional","1","1","secondary",140,"less than secondary","less than secondary","group7","group7",124.6,"1","0","0","1","0","0",18,"0",16.2,0.3,-0.92,"0"
"single","traditional","3","1","secondary",122,"secondary","secondary","group9","group8",120.3,"0","0","0","1","0","1",21,"0",11.1,0.6,2.02,"0"
"single","traditional","4","1","secondary",127,"secondary","less than secondary","group4","group7",121.8,"1","0","0","1","0","0",20,"0",12.7,3.7,-1.7,"0"
"single","traditional","4","1","secondary",142,"less than secondary","less than secondary","group1","group1",125.5,"1","0","0","1","0","0",18,"0",12.7,3.7,-1.7,"0"
"single","traditional","4","1","secondary",125,"secondary","less than secondary","group4","group7",114.9,"1","0","0","1","0","1",19,"0",11.1,0.6,2.02,"0"
"single","traditional","1","1","secondary",126,"less than secondary","less than secondary","group3","group7",123.9,"0","0","0","1","0","0",19,"0",11.1,0.6,2.02,"0"
"single","traditional","1","1","secondary",151,"less than secondary","less than secondary","group9","group9",157,"1","0","1","1","0","1",18,"0",7.6,2.6,0.32,"0"
"single","traditional","2","1","secondary",115,"less than secondary","less than secondary","group7","group8",116.4,"1","0","0","1","0","0",21,"0",16.2,0.3,-0.92,"0"
"single","traditional","1","1","secondary",138,"less than secondary","less than secondary","group3","group3",131,"1","0","0","1","0","0",18,"0",9.4,-0.8,-3.12,"0"
"single","traditional","1","1","secondary",135,"less than secondary","secondary","group9","group9",122.1,"1","0","0","1","0","0",20,"0",16.2,0.3,-0.92,"0"
"single","traditional","2","1","secondary",127,"bachelors or higher","bachelors or higher","group1","group10",118.8,"1","0","0","1","1","0",19,"0",16.2,0.3,-0.92,"0"
"single","non-traditional","1","1","specialized",150,"bachelors or higher","bachelors or higher","group4","group2",150,"0","0","0","1","1","0",21,"0",16.2,0.3,-0.92,"0"
"single","non-traditional","1","1","secondary",125,"specialized","bachelors or higher","group2","group2",130,"1","0","0","1","1","0",20,"0",8.9,1.4,3.51,"0"
"single","traditional","1","1","secondary",143,"secondary","secondary","group4","group6",138.8,"0","0","0","0","1","0",18,"0",8.9,1.4,3.51,"0"
"single","traditional","1","0","secondary",138,"less than secondary","secondary","group9","group5",134.5,"1","0","0","1","0","0",19,"0",12.4,0.5,1.79,"0"
"single","traditional","1","0","secondary",130,"bachelors or higher","less than secondary","group3","group9",131.4,"0","0","0","1","1","0",34,"0",13.9,-0.3,0.79,"0"
"single","non-traditional","1","1","secondary",130,"less than secondary","less than secondary","group9","group6",102.5,"0","0","1","0","1","0",37,"0",8.9,1.4,3.51,"1"
"single","non-traditional","1","1","less than secondary",133.1,"unknown","less than secondary","student","student",128.8,"1","0","0","1","1","0",43,"0",7.6,2.6,0.32,"1"
"single","non-traditional","1","1","secondary",140,"less than secondary","less than secondary","group6","group6",122.9,"0","0","0","1","0","0",55,"0",16.2,0.3,-0.92,"1"
"legally separated","non-traditional","1","0","secondary",120,"less than secondary","less than secondary","group9","group3",113.9,"1","0","0","1","0","0",39,"0",7.6,2.6,0.32,"0"
